version	min	1%	5%	10%	25%	50%	75%	90%	95%	99%	max
android-1.6_r1.2	0	0	0	0	1	1,11111111111111	2	3,45454545454545	4,68831967213114	9,5	55
android-1.6_r1.5	0	0	0	0	1	1,11111111111111	2	3,45454545454545	4,68831967213114	9,5	55
android-2.0_r1	0	0	0	0	1	1,11111111111111	2	3,5	4,75	9,74444444444443	59
android-2.1_r2.1p2	0	0	0	0	1	1,11882352941176	2	3,5	4,8	9,88199999999997	60
android-2.2_r1	0	0	0	0	1	1,06666666666667	2	3,73840579710146	5,2752380952381	12	99
android-2.2.3_r2	0	0	0	0	1	1,06666666666667	2,01744186046512	3,75	5,26173913043478	12	99
android-2.3_r1	0	0	0	0	1	1	2,07142857142857	4	5,81691176470588	12,8275	99
android-2.3.7_r1	0	0	0	0	1	1	2,08333333333333	4	5,8	12,755625	99
android-4.0.1_r1	0	0	0	0	1	1	2,125	4	6	17	94,3333333333333
android-4.0.4_r2.1	0	0	0	0	1	1	2,10858585858586	4	6	17	94,3333333333333
