version	min	1%	5%	10%	25%	50%	75%	90%	95%	99%	max
android-1.6_r1.2	0	0	0	0	780	2088	4434	9208	14803,8	45279,5200000003	431800
android-1.6_r1.5	0	0	0	0	780	2088	4434	9208	14803,8	45279,5200000003	431800
android-2.0_r1	0	0	0	0	792	2271	4884	10080	15804,5	48380,0999999999	479182
android-2.1_r2.1p2	0	0	0	0	797,5	2290,5	4912,5	10000	15659,65	48722,14	483736
android-2.2_r1	0	0	0	0	805	2335,5	5069	10636,2	17693,4	56383,0399999998	638825
android-2.2.3_r2	0	0	0	0	805	2336,5	5072	10633,8	17702,7	56373,8800000003	639331
android-2.3_r1	0	0	0	0	568	2268	5348	11584	19512,4	62567	693220
android-2.3.7_r1	0	0	0	0	604	2328	5481,75	11959,9	19906	63523,4599999999	695750
android-4.0.1_r1	0	0	0	0	722	3410	7914	16320,8	27404,4000000001	87229	925846
android-4.0.4_r2.1	0	0	0	0	729	3464	8046	16296	27240,5	87651,5	941460
