version	min	1%	5%	10%	25%	50%	75%	90%	95%	99%	max
android-1.6_r1.2	0	0	0	0	1	4	9	21	33	79	317
android-1.6_r1.5	0	0	0	0	1	4	9	21	33	79	317
android-2.0_r1	0	0	0	0	1	4	9	21	33	78,3999999999996	325
android-2.1_r2.1p2	0	0	0	0	1	4	9	21	33	77,8199999999997	325
android-2.2_r1	0	0	0	0	1	3	8	19	31	78,4899999999998	336
android-2.2.3_r2	0	0	0	0	1	3	8	19	31	78,4300000000003	336
android-2.3_r1	0	0	0	0	1	3	7	18	29	77,1599999999999	347
android-2.3.7_r1	0	0	0	0	1	3	7	18	29	77,6099999999997	348
android-4.0.1_r1	0	0	0	0	1	2	7	18	29	75	493
android-4.0.4_r2.1	0	0	0	0	1	2	7	18	29	75	497
